snapshot_ts,ticker,car_63d,car_sign_consistency,car_acceleration,expected_bps,sora_level_t2,reit_index_lag_21d_return,reit_index_lag_63d_return,reit_index_vol_21d,reit_index_vol_63d,reit_index_drawdown_63d,is_A17U,is_AJBU,is_BTOU,is_BUOU,is_C38U,is_CMOU,is_J69U,is_M1GU,is_M44U,is_ME8U,is_N2IU,is_OXMU,is_T82U,y_true
2024-04-22,T82U,-0.00029360852,-9.000334e-05,0.00023951606,0.001098372,4.968208e-05,-0.00010272363,-4.012471e-05,-6.7245404e-05,0.0006781184,0.00036018313,0.0,0.0,2.8295686e-05,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.004602158485397606
2024-04-25,M44U,-0.00014528936,8.025477e-05,0.0006189602,0.0010542166,-7.2504063e-06,5.3430675e-05,-9.759022e-05,-0.0003953497,0.0011401161,-0.00044870118,0.0,0.0,8.412542e-05,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-0.00015240812,0.0,-0.0024524250903154776
2024-04-29,AJBU,-1.8515508e-05,-9.000334e-05,0.0009772058,0.0010704078,-2.253759e-05,-4.1174226e-05,-0.00010299346,-0.00036425248,0.00073248876,-0.00036282997,0.0,0.0,8.2666054e-05,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.03393553385780565
2024-04-30,BTOU,0.0021567198,-8.107121e-05,0.0012139456,0.0056289397,0.0016544879,-0.00015479937,-0.0008537697,-0.0005471349,0.008358177,-0.00042580257,0.0,0.0,-0.0019745782,0.0,0.0,0.00011119376,0.0,0.0,0.0,0.0,0.0,-0.00013798385,0.0,-0.057356010555151576
2024-05-02,CMOU,0.04971837,1.398777e-05,0.005315881,0.002497745,-0.0003656563,-0.0024431208,-0.015197264,-0.004387786,-0.0031529388,-0.008057888,0.0,0.0,-0.0023442332,0.0,0.0,-0.0018261492,0.0,0.0,0.0,0.0,0.0,5.4899974e-05,0.0,0.018137831854919184
2024-05-06,M1GU,-0.00023816524,1.398777e-05,0.0007603197,0.0010339685,-1.5755853e-05,-0.0001735586,-0.00012229705,-3.515456e-05,0.0007827888,-0.0001809053,0.0,0.0,3.5233632e-05,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.013808017800754467
2024-05-08,BUOU,-0.00034946034,1.398777e-05,0.0009783428,0.0012569397,0.00014007557,-0.00016538972,-0.00026269423,6.6893146e-05,-1.3730536e-05,-0.00043245635,0.0,0.0,0.00062795397,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.018129571955513204
2024-05-09,M44U,-0.00034946034,1.398777e-05,0.0009783428,0.0012569397,0.00014007557,-0.00016538972,-0.00026269423,6.6893146e-05,-1.3730536e-05,-0.00043245635,0.0,0.0,0.00062795397,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.01456086884909538
2024-05-14,C38U,0.00013333306,-9.000334e-05,0.00097568805,0.0013052488,3.325056e-05,-5.1764542e-05,-0.00026269423,-0.000424164,-6.403055e-05,-0.00036978858,0.0,0.0,0.0006753864,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.01206287961581138
2024-05-15,J69U,0.00013333306,-9.000334e-05,0.00097568805,0.0013052488,3.325056e-05,-5.1764542e-05,-0.00026269423,-0.000424164,-6.403055e-05,-0.00036978858,0.0,0.0,0.0006753864,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.010436152451573874
